model,data,pred_len,seq_len,n_features,bit_width,num_params,param_bytes,activation_arena_bytes,peak_ram_bytes,flash_bytes,flops,latency_ms,energy_mj,deploy_16k,deploy_32k,deploy_64k
DLinear,Electricity,96,96,321,8,18624,18624,92448,156128,24768,11833344,355.00032,105.43509504,0,0,0
DLinear,Electricity,192,96,321,8,37248,37248,154080,248576,43392,23666688,710.00064,210.87019008,0,0,0
DLinear,Electricity,336,96,321,8,65184,65184,246528,387248,71328,41416704,1242.50112,369.02283264,0,0,0
DLinear,Electricity,720,96,321,8,139680,139680,493056,757040,145824,88750080,2662.5024000000003,790.7632128,0,0,0
DLinear,Traffic,96,96,862,8,18624,18624,248256,415808,24768,31776768,953.30304,283.13100288,0,0,0
DLinear,Traffic,192,96,862,8,37248,37248,413760,664064,43392,63553536,1906.60608,566.26200576,0,0,0
DLinear,Traffic,336,96,862,8,65184,65184,662016,1036448,71328,111218688,3336.56064,990.95851008,0,0,0
DLinear,Traffic,720,96,862,8,139680,139680,1324032,2029472,145824,238325760,7149.7728,2123.4825216,0,0,0
PatchTST,ETTh1,96,96,7,8,548707,548707,75264,78656,554851,69452656,2083.5796800000003,618.82316496,0,0,0
PatchTST,ETTh1,192,96,7,8,696259,696259,75264,79328,702403,71519728,2145.5918399999996,637.2407764799999,0,0,0
PatchTST,ETTh1,336,96,7,8,917587,917587,75264,80336,923731,74620336,2238.61008,664.86719376,0,0,0
PatchTST,ETTh1,720,96,7,8,1507795,1507795,75264,83024,1513939,82888624,2486.65872,738.53763984,0,0,0
PatchTST,ETTh2,96,96,7,8,548707,548707,75264,78656,554851,69452656,2083.5796800000003,618.82316496,0,0,0
PatchTST,ETTh2,192,96,7,8,696259,696259,75264,79328,702403,71519728,2145.5918399999996,637.2407764799999,0,0,0
PatchTST,ETTh2,336,96,7,8,917587,917587,75264,80336,923731,74620336,2238.61008,664.86719376,0,0,0
PatchTST,ETTh2,720,96,7,8,1507795,1507795,75264,83024,1513939,82888624,2486.65872,738.53763984,0,0,0
PatchTST,ETTm1,96,96,7,8,548707,548707,75264,78656,554851,69452656,2083.5796800000003,618.82316496,0,0,0
PatchTST,ETTm1,192,96,7,8,696259,696259,75264,79328,702403,71519728,2145.5918399999996,637.2407764799999,0,0,0
PatchTST,ETTm1,336,96,7,8,917587,917587,75264,80336,923731,74620336,2238.61008,664.86719376,0,0,0
PatchTST,ETTm1,720,96,7,8,1507795,1507795,75264,83024,1513939,82888624,2486.65872,738.53763984,0,0,0
PatchTST,ETTm2,96,96,7,8,548707,548707,75264,78656,554851,69452656,2083.5796800000003,618.82316496,0,0,0
